key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue
b2652,cheaper by the dozen,40000000.0,190212113.0,3.755302825
b2669,cheri,23000000.0,9366227.0,-0.5927727391304348
b2678,chicago,45000000.0,306776732.0,5.817260711111111
b2682,chicken little,150000000.0,314432837.0,1.0962189133333333
b2683,chicken run,45000000.0,224834564.0,3.9963236444444443
b2700,children of men,76000000.0,69959751.0,-0.0794769605263158
b2708,chill factor,70000000.0,11263966.0,-0.8390862
b2723,chloe,14000000.0,11702642.0,-0.164097
b2724,chocolat,25000000.0,152699946.0,5.10799784
b2753,christmas with the kranks,60000000.0,96572480.0,0.6095413333333334
b2757,chronicle (2012),12000000.0,126636097.0,9.553008083333333
b2775,cinderella (2015),95000000.0,543514353.0,4.721203715789474
b2777,cinderella man,88000000.0,108539911.0,0.23340807954545453
b2786,circumstance,1000000.0,454121.0,-0.545879
b2790,cirque du freak: the vampire's assistant,40000000.0,39232113.0,-0.019197175
b2804,city island,6000000.0,7875862.0,0.31264366666666665
b2807,city slickers,27000000.0,179033791.0,5.630881148148148
b2809,city by the sea,40000000.0,29413966.0,-0.26465085
b2811,city of ember,55000000.0,17929684.0,-0.6740057454545455
b2818,city of life and death,12000000.0,10687316.0,-0.10939033333333334
b2819,city of lost children,18000000.0,1738611.0,-0.9034105
b2831,clash of the titans (2010),125000000.0,493214993.0,2.945719944
b2842,clear and present danger,62000000.0,215887717.0,2.482059951612903
b2847,clerks ii,5000000.0,26983776.0,4.3967552
b2848,click,82500000.0,237681299.0,1.8809854424242425
b2850,cliffhanger,70000000.0,255000211.0,2.642860157142857
b2859,clockstoppers,26000000.0,38793283.0,0.49204934615384616
b2863,close encounters of the third kind,20000000.0,303788635.0,14.18943175
b2872,closer,27000000.0,115505027.0,3.277963962962963
b2879,cloudy with a chance of meatballs,100000000.0,243006126.0,1.43006126
b2880,cloudy with a chance of meatballs 2,78000000.0,274325949.0,2.5169993461538462
b2881,cloverfield,25000000.0,170764026.0,5.83056104
b2889,coach carter,30000000.0,76669806.0,1.5556602
b2904,coco before chanel,23000000.0,50812934.0,1.209258
b2911,code name: the cleaner,20000000.0,10337477.0,-0.48312615
b2925,cold mountain,79000000.0,173013509.0,1.190044417721519
b2934,collateral,65000000.0,217764291.0,2.3502198615384615
b2935,collateral beauty,36000000.0,88216021.0,1.4504450277777778
b2936,collateral damage,85000000.0,78382433.0,-0.0778537294117647
b2937,college,7000000.0,6265483.0,-0.104931
b2942,colombiana,40000000.0,60965854.0,0.52414635
b2993,con air,75000000.0,224012234.0,1.9868297866666667
b2996,conan the barbarian (2011),90000000.0,48795021.0,-0.4578331
b3001,concussion (2015),35000000.0,48623572.0,0.3892449142857143
b3005,confessions of a dangerous mind,30000000.0,33013805.0,0.10046016666666667
b3015,connie and carla,27000000.0,11341016.0,-0.5799623703703704
b3020,constantine,100000000.0,230884728.0,1.30884728
b3025,contact,90000000.0,171120329.0,0.9013369888888889
b3026,contagion,60000000.0,135458097.0,1.25763495
b3032,contraband,25000000.0,96262212.0,2.85048848
b3041,conversations with other women,450000.0,973525.0,1.1633888888888888
b3043,conviction,12500000.0,9710055.0,-0.2231956
b3052,cool runnings,14000000.0,154856263.0,10.061161642857142
b3059,cop out,30000000.0,55583804.0,0.8527934666666667
b3065,coraline,60000000.0,124596398.0,1.0766066333333333
b3083,country strong,15000000.0,20529194.0,0.36861293333333334
b3085,couples retreat,70000000.0,171844840.0,1.4549262857142857
b3088,courageous,2000000.0,34522221.0,16.2611105
b3097,cowboys &amp; aliens,163000000.0,174822325.0,0.07252960122699387
b3101,coyote ugly,45000000.0,113916474.0,1.5314772
b3105,cradle 2 the grave,25000000.0,56489558.0,1.25958232
b3106,cradle will rock,36000000.0,2903404.0,-0.9193498888888889
b3107,crank,12000000.0,42931041.0,2.57758675
b3109,crash,6500000.0,98410061.0,14.140009384615384
b3112,crazy heart,7000000.0,47405566.0,5.7722237142857145
b3123,"""crazy, stupid, love.""",50000000.0,142851197.0,1.85702394
b3128,creed,35000000.0,173567581.0,3.959073742857143
b3141,crimson peak,55000000.0,74679822.0,0.35781494545454545
b3169,crossroads,12000000.0,61141030.0,4.095085833333333
b3171,"""crouching tiger, hidden dragon""",17000000.0,213525736.0,11.560337411764706
b3175,cruel intentions,10500000.0,75902208.0,6.228781714285715
b3180,crush,6000000.0,3695710.0,-0.3840483333333333
b3185,cry wolf,1000000.0,15585495.0,14.585495
