link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=twelvemonkeys.htm	12 Monkeys	N/A	57141459		29-Dec-95	2 hrs. 10 min.	Universal	Sci-Fi	R	Nominated for Two Oscars.
http://www.boxofficemojo.com/movies/?id=12oclockboys.htm	12 O'Clock Boys	N/A	82614		31-Jan-14	1 hrs. 16 min.	Oscilloscope Pictures	Documentary	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=12rounds.htm	12 Rounds	N/A	12234694		27-Mar-09	1 hrs. 48 min.	Fox	Action / Adventure	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=twelveyearsaslave.htm	12 Years a Slave	$20 million	56671993		18-Oct-13	2 hrs. 13 min.	Fox Searchlight	Drama	R	"Nominated for Nine Oscars, Including Three Wins."
http://www.boxofficemojo.com/movies/?id=121212.htm	12/12/2012	N/A			15-Nov-13	1 hrs. 45 min.	Weinstein Company	Concert	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=127hours.htm	127 Hours	$18 million	18335230		5-Nov-10	1 hrs. 33 min.	Fox Searchlight	Drama	R	Nominated for Six Oscars.
http://www.boxofficemojo.com/movies/?id=1208eastofbucharest.htm	12:08 East of Bucharest	N/A	91881		6-Jun-07	1 hrs. 29 min.	Tartan	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13assassins.htm	13 Assassins	N/A	802778		29-Apr-11	2 hrs. 6 min.	Magnolia	Foreign	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13conversationsaboutonething.htm	13 Conversations About One Thing	N/A	3288164		24-May-02	1 hrs. 34 min.	Sony Classics	Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13goingon30.htm	13 Going on 30	$37 million	57231747		23-Apr-04	1 hrs. 37 min.	Sony (Revolution)	Fantasy Comedy	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm	13 Hours: The Secret Soldiers of Benghazi	$50 million	52853219		15-Jan-16	2 hrs. 24 min.	Paramount	Drama	R	Nominated for One Oscar.
http://www.boxofficemojo.com/movies/?id=13minutes.htm	13 Minutes	N/A			30-Jun-17	1 hrs. 54 min.	Sony Classics	Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13monthsofsunshine.htm	13 Months of Sunshine	N/A	2337		6-Jun-08	1 hrs. 38 min.	Unknown	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13sins.htm	13 Sins	N/A	13809		18-Apr-14	1 hrs. 32 min.	Radius-TWC	Thriller	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13tzameti.htm	13 Tzameti	N/A	121390		28-Jul-06	1 hrs. 26 min.	Palm	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=13b.htm	13B	N/A	12449	49043	6-Mar-09	2 hrs. 26 min.	AdLabs	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=14blades.htm	14 Blades	N/A			22-Aug-14	1 hrs. 56 min.	Radius-TWC	Foreign / Action	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1408.htm	1408	$25 million	71985628		22-Jun-07	1 hrs. 34 min.	MGM (Weinstein)	Horror	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=1492.htm	1492: Conquest of Paradise	$47 million	7191399		9-Oct-92	2 hrs. 28 min.	Paramount	Historical Drama	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=15.htm	15	N/A	3013		13-Apr-05	1 hrs. 33 min.	Picture This!	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=15fevrier1839.htm	15 Fevrier 1839	N/A	248093		26-Jan-01	1 hrs. 54 min.	Chris.	Unknown	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=15minutes.htm	15 Minutes	$60 million	24403552		9-Mar-01	2 hrs. 0 min.	New Line	Thriller	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=16blocks.htm	16 Blocks	N/A	36895141		3-Mar-06	1 hrs. 45 min.	Warner Bros.	Action Thriller	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=16daysofglory.htm	16 Days of Glory	N/A	83857		7-Mar-86	2 hrs. 25 min.	Paramount	Documentary	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=16yearsofalcohol.htm	16 Years of Alcohol	N/A	8046		15-Mar-05	1 hrs. 42 min.	Tartan	Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=17again.htm	17 Again	N/A	64167069		17-Apr-09	1 hrs. 42 min.	Warner Bros. (New Line)	Fantasy Comedy	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=17girls.htm	17 Girls	N/A	15123		21-Sep-12	1 hrs. 26 min.	Strand	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=18again.htm	18 Again	N/A	2567099		8-Apr-88	1 hrs. 40 min.	New World	Fantasy Comedy	PG	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=18ansapres.htm	18 ans apres	N/A	25611		2-May-03	1 hrs. 30 min.	TVA	Unknown	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=180south.htm	180 South	N/A	31745		21-May-10	1 hrs. 25 min.	Magnolia	Documentary	PG	No Academy Awards Information
