,Domestic,Foreign,Total Lifetime Gross,Worldwide,Link,Name
16245,"$14,104",,,,http://www.boxofficemojo.com/movies/?id=wewontgrowoldtogether.htm,We Won't Grow Old Together (2012 re-release)
16246,,,No Total Lifetime Gross Information,,http://www.boxofficemojo.com/movies/?id=wetheliving.htm,We the Living
16247,,,No Total Lifetime Gross Information,,http://www.boxofficemojo.com/movies/?id=wetheparty.htm,We the Party
16248,"$9,317,021",,,,http://www.boxofficemojo.com/movies/?id=werebackadinosaursstory.htm,We're Back! A Dinosaur's Story
16249,"$10,555,348",,,,http://www.boxofficemojo.com/movies/?id=werenoangels.htm,We're No Angels
16250,"$150,394,119","$119,600,000",,"$269,994,119",http://www.boxofficemojo.com/movies/?id=werethemillers.htm,We're the Millers
16251,"$30,210",,,,http://www.boxofficemojo.com/movies/?id=weaponsofmassdeception.htm,Weapons of Mass Deception
16252,"$232,981",,,,http://www.boxofficemojo.com/movies/?id=weaponsofthespirit.htm,Weapons of the Spirit
16253,"$22,779",,,,http://www.boxofficemojo.com/movies/?id=weathergirl.htm,Weather Girl
16254,"$524,203",,,,http://www.boxofficemojo.com/movies/?id=weavers.htm,Weavers: Wasn't That a Time
16255,"$44,052",,,,http://www.boxofficemojo.com/movies/?id=weddingbellblues.htm,Wedding Bell Blues
16256,"$209,255,921","$75,920,820",,"$285,176,741",http://www.boxofficemojo.com/movies/?id=weddingcrashers.htm,Wedding Crashers
16257,n/a,"$11,492,406",,"$11,492,406",http://www.boxofficemojo.com/movies/?id=weddingdaze.htm,Wedding Daze (formerly The Pleasure of Your Company)
16258,"$56,196",,,,http://www.boxofficemojo.com/movies/?id=weddingdoll.htm,Wedding Doll
16259,"$19,908",,,,http://www.boxofficemojo.com/movies/?id=weddingpalace.htm,Wedding Palace
16260,"$2,325,444",,,,http://www.boxofficemojo.com/movies/?id=weeds.htm,Weeds
16261,"$484,592",n/a,,"$484,592",http://www.boxofficemojo.com/movies/?id=weekend2011.htm,Weekend (2011)
16262,"$21,058,033",,,,http://www.boxofficemojo.com/movies/?id=weekendpass.htm,Weekend Pass
16263,"$351,623",,,,http://www.boxofficemojo.com/movies/?id=weekendwarriors.htm,Weekend Warriors
16264,"$30,218,387",,,,http://www.boxofficemojo.com/movies/?id=weekendatbernies.htm,Weekend at Bernie's
16265,"$12,741,891",,,,http://www.boxofficemojo.com/movies/?id=weekendatbernies2.htm,Weekend at Bernie's II
16266,"$4,100",,,,http://www.boxofficemojo.com/movies/?id=weekendofachampion.htm,Weekend of a Champion
16267,"$1,676,108",n/a,,"$1,676,108",http://www.boxofficemojo.com/movies/?id=weiner.htm,Weiner
16268,"$23,834,048","$15,100,000",,"$38,934,048",http://www.boxofficemojo.com/movies/?id=weirdscience.htm,Weird Science
16269,"$8,161","$1,539",,"$9,700",http://www.boxofficemojo.com/movies/?id=weirdsville.htm,Weirdsville
16270,"$1,388,365",n/a,,"$1,388,365",http://www.boxofficemojo.com/movies/?id=welcomeback.htm,Welcome Back
16271,"$1,029,822",,,,http://www.boxofficemojo.com/movies/?id=welcomehome.htm,Welcome Home
16272,"$42,436,517","$1,214,268",,"$43,650,785",http://www.boxofficemojo.com/movies/?id=roscoejenkins.htm,Welcome Home Roscoe Jenkins
16273,"$3,989,297",,,,http://www.boxofficemojo.com/movies/?id=welcomehomeroxycarmichael.htm,"Welcome Home, Roxy Carmichael"
16274,"$336,620",n/a,,"$336,620",http://www.boxofficemojo.com/movies/?id=welcometocollinwood.htm,Welcome to Collinwood
16275,"$5,083",,,,http://www.boxofficemojo.com/movies/?id=welcometohappiness.htm,Welcome to Happiness
16276,"$36,010",n/a,,"$36,010",http://www.boxofficemojo.com/movies/?id=welcometoleith.htm,Welcome to Leith
16277,"$608,852",n/a,,"$608,852",http://www.boxofficemojo.com/movies/?id=welcometome.htm,Welcome to Me
16278,"$14,470,947","$144,152",,"$14,615,099",http://www.boxofficemojo.com/movies/?id=welcometomooseport.htm,Welcome to Mooseport
16279,,,No Total Lifetime Gross Information,,http://www.boxofficemojo.com/movies/?id=welcometonewyork.htm,Welcome to New York
16280,"$6,115",,,,http://www.boxofficemojo.com/movies/?id=welcometopinehill.htm,Welcome to Pine Hill
16281,"$334,319",,,,http://www.boxofficemojo.com/movies/?id=welcometosarajevo.htm,Welcome to Sarajevo
16282,"$37,621",,,,http://www.boxofficemojo.com/movies/?id=welcometowoopwoop.htm,Welcome to Woop Woop
16283,"$4,569,019",,,,http://www.boxofficemojo.com/movies/?id=welcometothedollhouse.htm,Welcome to the Dollhouse
16284,"$9,747",n/a,,"$9,747",http://www.boxofficemojo.com/movies/?id=welcometothepunch.htm,Welcome to the Punch
16285,"$158,898","$158,484",,"$317,382",http://www.boxofficemojo.com/movies/?id=welcometotherileys.htm,Welcome to the Rileys
16286,"$865,695","$326,960",,"$1,192,655",http://www.boxofficemojo.com/movies/?id=wendyandlucy.htm,Wendy and Lucy
16287,"$47,214",,,,http://www.boxofficemojo.com/movies/?id=wentthedaywell2011.htm,Went The Day Well? (2011 re-release)
16288,"$25,461",,,,http://www.boxofficemojo.com/movies/?id=werckmeisterharmonies.htm,Werckmeister Harmonies
16289,"$123,789",n/a,,"$123,789",http://www.boxofficemojo.com/movies/?id=weretheworldmine.htm,Were the World Mine
