key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,year_wiki,year_bom
b1557,w3204,,beauty and the beast (2017 film),2017,160000000.0,1048233200.0,5.5514575,"""[2017, 02, 23, Spencer House, 2017, 17, United States]""",17-Mar-17
b1562,w3220,o5071,beavis and butt-head do america,1996,12000000.0,63118386.0,4.2598655,1996,20-Dec-96
b1565,w3223,,because of winn-dixie ,2005,14000000.0,33589427.0,1.3992447857142858,"""[2005, 26, USA Film Festival, 2005, 18]""",18-Feb-05
b1573,w3236,,bedazzled (2000 film),2000,48000000.0,90383208.0,0.8829834999999999,"""[2000, 10, 20]""",20-Oct-00
b1575,w3250,,bedtime stories ,2008,80000000.0,212874442.0,1.660930525,"""[2008, 12, 25, United States, 2009, 23, Poland, 2009, 20, Sweden]""",25-Dec-08
b1576,w3255,o3663,bee movie,2007,150000000.0,287594577.0,0.91729718,2007,2-Nov-07
b1577,w3256,,bee season ,2005,14000000.0,6856989.0,-0.5102150714285715,"""[2005, 11, 11]""",11-Nov-05
b1595,w3296,o20627,before sunrise,1995,2500000.0,5535405.0,1.2141620000000002,1995,27-Jan-95
b1605,w3317,o7923,beginners,2010,3200000.0,14311701.0,3.4724065625,2010,3-Jun-11
b1607,w3330,,behind enemy lines (2001 film),2001,40000000.0,91753202.0,1.29383005,"""[2001, 11, 30]""",30-Nov-01
b1619,w3369,o2032,being john malkovich,1999,13000000.0,22863596.0,0.7587381538461538,1999,29-Oct-99
b1637,w3432,,beloved ,1998,80000000.0,22852487.0,-0.7143439125,"""[1998, 10, US:, limited, 1998, 10, 16, US: wide]""",16-Oct-98
b1644,w3464,,ben-hur (2016 film),2016,100000000.0,94061311.0,-0.05938689,"""[2016, Mexico City, 2016, 19, United States]""",19-Aug-16
b1671,w3536,,best laid plans (1999 film),1999,7000000.0,27816.0,-0.9960262857142858,"""[1999, 09, 10]""",10-Sep-99
b1693,w3592,o16202,better luck tomorrow,2002,250000.0,3809226.0,14.236904000000001,2002,11-Apr-03
b1711,w3658,o2261,beverly hills cop iii,1994,50000000.0,119208989.0,1.38417978,1994,25-May-94
b1718,w3691,,beyond borders ,2003,35000000.0,11705002.0,-0.6655713714285715,"""[2003, 10, 24, U.S.]""",24-Oct-03
b1735,w3721,o9918,beyond the lights,2014,7000000.0,14618727.0,1.0883895714285714,2014,14-Nov-14
b1750,w3745,,bicentennial man ,1999,100000000.0,87423861.0,-0.12576139,"""[1999, 12, 17]""",17-Dec-99
b1765,w3819,o16205,big fat liar,2002,15000000.0,52970014.0,2.5313342666666667,2002,8-Feb-02
b1766,w3822,o9644,big fish,2003,70000000.0,122919055.0,0.7559865,2003,10-Dec-03
b1775,w3862,o3312,big miracle,2012,40000000.0,24719215.0,-0.382019625,2012,3-Feb-12
b1776,w3863,o10582,big momma's house,2000,30000000.0,173959438.0,4.798647933333333,2000,2-Jun-00
b1777,w3864,o20236,big momma's house 2,2006,40000000.0,138259062.0,2.45647655,2006,27-Jan-06
b1778,w3865,o2465,"""big mommas: like father, like son""",2011,32000000.0,82686066.0,1.5839395625,2011,18-Feb-11
b1795,w3959,o9645,biker boyz,31-Jan,24000000.0,23510601.0,-0.020391625,31-Jan,31-Jan-03
b1809,w4012,o20630,billy madison,1995,10000000.0,26488734.0,1.6488734,1995,10-Feb-95
b1849,w4176,,black hawk down ,2001,92000000.0,172989651.0,0.8803222934782609,"""[2001, 12, 28, Limited, 2002, 01, 18, Worldwide]""",28-Dec-01
b1852,w4190,,black knight ,2001,50000000.0,39976235.0,-0.2004753,"""[2001, 11, 21]""",21-Nov-01
b1854,w4203,,black mass ,2015,53000000.0,99775678.0,0.8825599622641509,"""[2015, 09, 04, Venice, 2015, 09, 18, United States]""",18-Sep-15
b1856,w4206,,black nativity ,2013,17500000.0,7454185.0,-0.5740465714285714,"""[2013, 11, 27]""",27-Nov-13
b1871,w4249,,black swan ,2010,13000000.0,329398046.0,24.33831123076923,"""[2010, 09, 01, Venice, 2010, 12, 03, United States]""",3-Dec-10
b1881,w4282,,blackhat ,2015,70000000.0,19652057.0,-0.7192563285714285,"""[2015, 01, 08, Los Angeles premiere, 2015, 01, 16]""",16-Jan-15
b1887,w4303,o16206,blade ii,2002,54000000.0,155010032.0,1.870556148148148,2002,22-Mar-02
b1893,w4307,o21974,blade: trinity,2004,65000000.0,128905366.0,0.9831594769230768,2004,8-Dec-04
b1894,w4309,o3670,blades of glory,2007,61000000.0,145708642.0,1.3886662622950818,2007,30-Mar-07
b1903,w4323,,blast from the past ,1999,35000000.0,40263020.0,0.150372,"""[1999, 12]""",12-Feb-99
b1911,w4350,,blended ,2014,40000000.0,128034610.0,2.20086525,"""[2014, 05, 23]""",23-May-14
