omdb_movie_id,genres,cluster
1086,Fantasy|Horror|Action,6
1087,Horror|Action|Comedy,6
1088,Drama|Romance,2
1089,Comedy,5
1090,History|Music|Documentary,4
1091,Comedy|Horror,6
1092,Drama,2
1093,News|Documentary|History,4
1094,Documentary,4
1095,News|Documentary|Crime,4
1096,Comedy,5
1097,Thriller|Horror,6
1098,Thriller|Horror,6
1099,Horror|Thriller|Fantasy,6
1100,Drama|Biography,2
1101,Comedy,5
1102,News|Documentary|Comedy,4
1103,Documentary,4
1104,Animation|Drama|Musical,2
1105,Horror|Thriller,6
1106,Drama|Music,2
1107,Drama|Romance,2
1108,Short|Documentary,4
1109,Crime|Comedy,5
1110,Documentary,4
1111,Short,3
1112,Drama|Thriller|Crime,2
1113,Comedy,5
1114,Comedy,5
1115,Comedy,5
1116,Documentary,4
1117,Music|Drama,2
1118,Horror|Thriller,6
1119,Drama,2
1120,Action|Adventure|Sci-Fi,0
1121,Drama,2
1122,Fantasy|Adventure,0
1123,Documentary,4
